State,vacc_age,vacc_cov,vacc_cov_adj,round,epi_based,round_new,round_fix,mean_vacc_cov,mean_vacc_cov_adj
Abia,76,0.883,0.740226368159204,1,1,1,,0.79255,0.664401368159204
Akwa Ibom,76,0.708,0.593522388059702,1,1,1,,0.79255,0.664401368159204
Anambra,76,0.881,0.738549751243781,1,1,1,,0.79255,0.664401368159204
Bayelsa,76,0.639,0.535679104477612,1,1,1,,0.79255,0.664401368159204
Benue,76,0.714,0.59855223880597,1,1,1,,0.79255,0.664401368159204
Cross River,76,0.818,0.68573631840796,1,1,1,,0.79255,0.664401368159204
Delta,76,0.782,0.655557213930348,1,1,1,,0.79255,0.664401368159204
Ebonyi,76,0.921,0.772082089552239,1,1,1,,0.79255,0.664401368159204
Edo,76,0.86,0.720945273631841,1,1,1,,0.79255,0.664401368159204
Ekiti,76,0.95,0.796393034825871,1,1,1,,0.79255,0.664401368159204
Enugu,76,0.838,0.702502487562189,1,1,1,,0.79255,0.664401368159204
Imo,76,0.844,0.707532338308458,1,1,1,,0.79255,0.664401368159204
Kogi,76,0.668,0.559990049751244,1,1,1,,0.79255,0.664401368159204
Lagos,76,0.941,0.788848258706468,1,1,1,,0.79255,0.664401368159204
Ogun,76,0.599,0.502146766169154,1,1,1,,0.79255,0.664401368159204
Ondo,76,0.801,0.671485074626866,1,1,1,,0.79255,0.664401368159204
Osun,76,0.881,0.738549751243781,1,1,1,,0.79255,0.664401368159204
Oyo,76,0.673,0.564181592039801,1,1,1,,0.79255,0.664401368159204
Rivers,76,0.83,0.695796019900497,1,1,1,,0.79255,0.664401368159204
Taraba,76,0.62,0.519751243781095,1,1,1,,0.79255,0.664401368159204
Abia,106,0.804,0.768348623853211,2,1,2,,0.70655,0.675219801223242
Akwa Ibom,106,0.622,0.594418960244648,2,1,2,,0.70655,0.675219801223242
Anambra,106,0.873,0.834288990825688,2,1,2,,0.70655,0.675219801223242
Bayelsa,106,0.545,0.520833333333333,2,1,2,,0.70655,0.675219801223242
Benue,106,0.587,0.560970948012233,2,1,2,,0.70655,0.675219801223242
Cross River,106,0.641,0.612576452599388,2,1,2,,0.70655,0.675219801223242
Delta,106,0.717,0.685206422018349,2,1,2,,0.70655,0.675219801223242
Ebonyi,106,0.824,0.787461773700306,2,1,2,,0.70655,0.675219801223242
Edo,106,0.807,0.771215596330275,2,1,2,,0.70655,0.675219801223242
Ekiti,106,0.93,0.888761467889908,2,1,2,,0.70655,0.675219801223242
Enugu,106,0.809,0.773126911314985,2,1,2,,0.70655,0.675219801223242
Imo,106,0.795,0.759747706422018,2,1,2,,0.70655,0.675219801223242
Kogi,106,0.556,0.531345565749236,2,1,2,,0.70655,0.675219801223242
Lagos,106,0.908,0.867737003058104,2,1,2,,0.70655,0.675219801223242
Ogun,106,0.503,0.480695718654434,2,1,2,,0.70655,0.675219801223242
Ondo,106,0.77,0.73585626911315,2,1,2,,0.70655,0.675219801223242
Osun,106,0.835,0.797974006116208,2,1,2,,0.70655,0.675219801223242
Oyo,106,0.443,0.42335626911315,2,1,2,,0.70655,0.675219801223242
Rivers,106,0.745,0.711964831804281,2,1,2,,0.70655,0.675219801223242
Taraba,106,0.417,0.398509174311927,2,1,2,,0.70655,0.675219801223242
Abia,182,0.7965,0.659266265949594,4,0,3,3,0.700575,0.579788444672924
Akwa Ibom,182,0.6285,0.518607947555274,4,0,3,3,0.700575,0.579788444672924
Anambra,182,0.8405,0.69886097050863,4,0,3,3,0.700575,0.579788444672924
Bayelsa,182,0.629,0.509010536398468,4,0,3,3,0.700575,0.579788444672924
Benue,182,0.614,0.503975895462055,4,0,3,3,0.700575,0.579788444672924
Cross River,182,0.641,0.529778647755633,4,0,3,3,0.700575,0.579788444672924
Delta,182,0.725,0.598170260817604,4,0,3,3,0.700575,0.579788444672924
Ebonyi,182,0.7335,0.617918626313755,4,0,3,3,0.700575,0.579788444672924
Edo,182,0.8065,0.66662695525326,4,0,3,3,0.700575,0.579788444672924
Ekiti,182,0.897,0.745622113255299,4,0,3,3,0.700575,0.579788444672924
Enugu,182,0.8005,0.662701386691976,4,0,3,3,0.700575,0.579788444672924
Imo,182,0.754,0.62846772294281,4,0,3,3,0.700575,0.579788444672924
Kogi,182,0.5015,0.421523357587262,4,0,3,3,0.700575,0.579788444672924
Lagos,182,0.9015,0.745918309958171,4,0,3,3,0.700575,0.579788444672924
Ogun,182,0.511,0.421301882315723,4,0,3,3,0.700575,0.579788444672924
Ondo,182,0.7525,0.624192502372667,4,0,3,3,0.700575,0.579788444672924
Osun,182,0.8005,0.66605979999297,4,0,3,3,0.700575,0.579788444672924
Oyo,182,0.5295,0.426452080916729,4,0,3,3,0.700575,0.579788444672924
Rivers,182,0.7365,0.609806170691413,4,0,3,3,0.700575,0.579788444672924
Taraba,182,0.4125,0.341507460719182,4,0,3,3,0.700575,0.579788444672924
Abia,274,0.789,0.550183908045977,3,1,4,4,0.6946,0.484357088122606
Akwa Ibom,274,0.635,0.4427969348659,3,1,4,4,0.6946,0.484357088122606
Anambra,274,0.808,0.563432950191571,3,1,4,4,0.6946,0.484357088122606
Bayelsa,274,0.713,0.497187739463602,3,1,4,4,0.6946,0.484357088122606
Benue,274,0.641,0.446980842911877,3,1,4,4,0.6946,0.484357088122606
Cross River,274,0.641,0.446980842911877,3,1,4,4,0.6946,0.484357088122606
Delta,274,0.733,0.511134099616858,3,1,4,4,0.6946,0.484357088122606
Ebonyi,274,0.643,0.448375478927203,3,1,4,4,0.6946,0.484357088122606
Edo,274,0.806,0.562038314176245,3,1,4,4,0.6946,0.484357088122606
Ekiti,274,0.864,0.60248275862069,3,1,4,4,0.6946,0.484357088122606
Enugu,274,0.792,0.552275862068966,3,1,4,4,0.6946,0.484357088122606
Imo,274,0.713,0.497187739463602,3,1,4,4,0.6946,0.484357088122606
Kogi,274,0.447,0.311701149425287,3,1,4,4,0.6946,0.484357088122606
Lagos,274,0.895,0.624099616858238,3,1,4,4,0.6946,0.484357088122606
Ogun,274,0.519,0.361908045977011,3,1,4,4,0.6946,0.484357088122606
Ondo,274,0.735,0.512528735632184,3,1,4,4,0.6946,0.484357088122606
Osun,274,0.766,0.534145593869732,3,1,4,4,0.6946,0.484357088122606
Oyo,274,0.616,0.429547892720307,3,1,4,4,0.6946,0.484357088122606
Rivers,274,0.728,0.507647509578544,3,1,4,4,0.6946,0.484357088122606
Taraba,274,0.408,0.284505747126437,3,1,4,4,0.6946,0.484357088122606
Abia,365,0.789,0.550183908045977,5,0,5,,0.6946,0.484357088122606
Akwa Ibom,365,0.635,0.4427969348659,5,0,5,,0.6946,0.484357088122606
Anambra,365,0.808,0.563432950191571,5,0,5,,0.6946,0.484357088122606
Bayelsa,365,0.713,0.497187739463602,5,0,5,,0.6946,0.484357088122606
Benue,365,0.641,0.446980842911877,5,0,5,,0.6946,0.484357088122606
Cross River,365,0.641,0.446980842911877,5,0,5,,0.6946,0.484357088122606
Delta,365,0.733,0.511134099616858,5,0,5,,0.6946,0.484357088122606
Ebonyi,365,0.643,0.448375478927203,5,0,5,,0.6946,0.484357088122606
Edo,365,0.806,0.562038314176245,5,0,5,,0.6946,0.484357088122606
Ekiti,365,0.864,0.60248275862069,5,0,5,,0.6946,0.484357088122606
Enugu,365,0.792,0.552275862068966,5,0,5,,0.6946,0.484357088122606
Imo,365,0.713,0.497187739463602,5,0,5,,0.6946,0.484357088122606
Kogi,365,0.447,0.311701149425287,5,0,5,,0.6946,0.484357088122606
Lagos,365,0.895,0.624099616858238,5,0,5,,0.6946,0.484357088122606
Ogun,365,0.519,0.361908045977011,5,0,5,,0.6946,0.484357088122606
Ondo,365,0.735,0.512528735632184,5,0,5,,0.6946,0.484357088122606
Osun,365,0.766,0.534145593869732,5,0,5,,0.6946,0.484357088122606
Oyo,365,0.616,0.429547892720307,5,0,5,,0.6946,0.484357088122606
Rivers,365,0.728,0.507647509578544,5,0,5,,0.6946,0.484357088122606
Taraba,365,0.408,0.284505747126437,5,0,5,,0.6946,0.484357088122606
Abia,456,0.789,0.550183908045977,6,0,6,,0.6946,0.484357088122606
Akwa Ibom,456,0.635,0.4427969348659,6,0,6,,0.6946,0.484357088122606
Anambra,456,0.808,0.563432950191571,6,0,6,,0.6946,0.484357088122606
Bayelsa,456,0.713,0.497187739463602,6,0,6,,0.6946,0.484357088122606
Benue,456,0.641,0.446980842911877,6,0,6,,0.6946,0.484357088122606
Cross River,456,0.641,0.446980842911877,6,0,6,,0.6946,0.484357088122606
Delta,456,0.733,0.511134099616858,6,0,6,,0.6946,0.484357088122606
Ebonyi,456,0.643,0.448375478927203,6,0,6,,0.6946,0.484357088122606
Edo,456,0.806,0.562038314176245,6,0,6,,0.6946,0.484357088122606
Ekiti,456,0.864,0.60248275862069,6,0,6,,0.6946,0.484357088122606
Enugu,456,0.792,0.552275862068966,6,0,6,,0.6946,0.484357088122606
Imo,456,0.713,0.497187739463602,6,0,6,,0.6946,0.484357088122606
Kogi,456,0.447,0.311701149425287,6,0,6,,0.6946,0.484357088122606
Lagos,456,0.895,0.624099616858238,6,0,6,,0.6946,0.484357088122606
Ogun,456,0.519,0.361908045977011,6,0,6,,0.6946,0.484357088122606
Ondo,456,0.735,0.512528735632184,6,0,6,,0.6946,0.484357088122606
Osun,456,0.766,0.534145593869732,6,0,6,,0.6946,0.484357088122606
Oyo,456,0.616,0.429547892720307,6,0,6,,0.6946,0.484357088122606
Rivers,456,0.728,0.507647509578544,6,0,6,,0.6946,0.484357088122606
Taraba,456,0.408,0.284505747126437,6,0,6,,0.6946,0.484357088122606
Abia,548,0.789,0.550183908045977,7,0,7,,0.6946,0.484357088122606
Akwa Ibom,548,0.635,0.4427969348659,7,0,7,,0.6946,0.484357088122606
Anambra,548,0.808,0.563432950191571,7,0,7,,0.6946,0.484357088122606
Bayelsa,548,0.713,0.497187739463602,7,0,7,,0.6946,0.484357088122606
Benue,548,0.641,0.446980842911877,7,0,7,,0.6946,0.484357088122606
Cross River,548,0.641,0.446980842911877,7,0,7,,0.6946,0.484357088122606
Delta,548,0.733,0.511134099616858,7,0,7,,0.6946,0.484357088122606
Ebonyi,548,0.643,0.448375478927203,7,0,7,,0.6946,0.484357088122606
Edo,548,0.806,0.562038314176245,7,0,7,,0.6946,0.484357088122606
Ekiti,548,0.864,0.60248275862069,7,0,7,,0.6946,0.484357088122606
Enugu,548,0.792,0.552275862068966,7,0,7,,0.6946,0.484357088122606
Imo,548,0.713,0.497187739463602,7,0,7,,0.6946,0.484357088122606
Kogi,548,0.447,0.311701149425287,7,0,7,,0.6946,0.484357088122606
Lagos,548,0.895,0.624099616858238,7,0,7,,0.6946,0.484357088122606
Ogun,548,0.519,0.361908045977011,7,0,7,,0.6946,0.484357088122606
Ondo,548,0.735,0.512528735632184,7,0,7,,0.6946,0.484357088122606
Osun,548,0.766,0.534145593869732,7,0,7,,0.6946,0.484357088122606
Oyo,548,0.616,0.429547892720307,7,0,7,,0.6946,0.484357088122606
Rivers,548,0.728,0.507647509578544,7,0,7,,0.6946,0.484357088122606
Taraba,548,0.408,0.284505747126437,7,0,7,,0.6946,0.484357088122606
