age_group,State,statistic,total_pop,pop_U2,Annual_EIR,PfHRP2_Prevalence,clinicalinc_ppa,clinical_cases,clinicalcases_pop
U1,Abia,mean_val,3399511.416297,231167,6.32,0.0843668965127082,0.575679444444445,575.679444444445,133078.090133889
U1,Akwa Ibom,mean_val,3296710.49991875,224176,12.36,0.156716694076032,1.07812222222222,1078.12222222222,241689.127288888
U1,Anambra,mean_val,5098431.00245006,346693,4.12,0.0528048554148559,0.386854444444444,386.854444444444,134119.727907778
U1,Bayelsa,mean_val,1075781.60546979,73153,10.73,0.139240168944678,0.945272222222222,945.272222222222,69149.4988722222
U1,Benue,mean_val,9961202.7942744,677362,8.72,0.118059710781699,0.777593888888889,777.593888888889,526712.551765556
U1,Cross River,mean_val,2016226.89448512,137103,8.91,0.114566608846255,0.801703888888889,801.703888888889,109916.008278333
U1,Delta,mean_val,3980159.13129126,270651,8.2,0.108976656011372,0.740870555555556,740.870555555556,200517.356731667
U1,Ebonyi,mean_val,3170746.9700617,215611,22.71,0.257624715504998,1.81990166666667,1819.90166666667,392390.818251667
U1,Edo,mean_val,3889207.70466486,264466,5.64,0.0773507107873755,0.519503888888889,519.503888888889,137391.115478889
U1,Ekiti,mean_val,1662045.54988429,113019,20.7,0.248026185732888,1.64748888888889,1647.48888888889,186197.546733333
U1,Enugu,mean_val,4408363.6995842,299769,10.78,0.133676050257629,0.957985,957.985,287174.205465
U1,Imo,mean_val,5749606.6045009,390973,4.27,0.0567168538757078,0.398417222222222,398.417222222222,155770.376623889
U1,Kogi,mean_val,3773143.48526124,256574,20.51,0.248956337931153,1.64059333333333,1640.59333333333,420933.593906666
U1,Lagos,mean_val,9689081.86118731,658858,1.14,0.0158531339455977,0.110046666666667,110.046666666667,72505.1267066669
U1,Ogun,mean_val,8001223.04886736,544083,11.82,0.14710129370947,1.03830277777778,1038.30277777778,564922.890241668
U1,Ondo,mean_val,3360724.60522142,228529,17.67,0.214015558608365,1.45937333333333,1459.37333333333,333509.128493333
U1,Osun,mean_val,4620347.90734842,314184,27.44,0.301477934504836,2.04386777777778,2043.86777777778,642150.553893334
U1,Oyo,mean_val,6977518.11374715,474471,12.75,0.15937742008071,1.10045777777778,1100.45777777778,522135.302280001
U1,Rivers,mean_val,5115068.37844803,347825,7.02,0.0943916408052022,0.640604444444444,640.604444444444,222818.240888889
U1,Taraba,mean_val,6038663.565472,410629,13.5,0.175731319591676,1.15487111111111,1154.87111111111,474223.569484444
U2,Abia,mean_val,3399511.416297,231167,6.32,0.122173857677642,0.780521666666667,780.521666666667,180430.852118333
U2,Akwa Ibom,mean_val,3296710.49991875,224176,12.36,0.222157030434637,1.42550472222222,1425.50472222222,319563.946608888
U2,Anambra,mean_val,5098431.00245006,346693,4.12,0.0769982321307259,0.53256,532.56,184634.82408
U2,Bayelsa,mean_val,1075781.60546979,73153,10.73,0.198374443652932,1.25530444444444,1255.30444444444,91829.2860244441
U2,Benue,mean_val,9961202.7942744,677362,8.72,0.169554716878541,1.0399725,1039.9725,704437.852545
U2,Cross River,mean_val,2016226.89448512,137103,8.91,0.16440462102115,1.07656833333333,1076.56833333333,147600.748205
U2,Delta,mean_val,3980159.13129126,270651,8.2,0.157218815841148,0.998439166666667,998.439166666667,270228.5588975
U2,Ebonyi,mean_val,3170746.9700617,215611,22.71,0.350385266357161,2.30496694444444,2304.96694444444,496976.22785861
U2,Edo,mean_val,3889207.70466486,264466,5.64,0.112653942931352,0.708193055555556,708.193055555556,187292.984630556
U2,Ekiti,mean_val,1662045.54988429,113019,20.7,0.337958478656683,2.07979083333333,2079.79083333333,235055.8801925
U2,Enugu,mean_val,4408363.6995842,299769,10.78,0.190779193323987,1.28034333333333,1280.34333333333,383807.240689999
U2,Imo,mean_val,5749606.6045009,390973,4.27,0.0826537557100173,0.546530277777778,546.530277777778,213678.582293611
U2,Kogi,mean_val,3773143.48526124,256574,20.51,0.34031390644103,2.07586861111111,2075.86861111111,532613.913027222
U2,Lagos,mean_val,9689081.86118731,658858,1.14,0.0232552321291586,0.152655555555556,152.655555555556,100578.334022223
U2,Ogun,mean_val,8001223.04886736,544083,11.82,0.208693997714899,1.376945,1376.945,749172.366435
U2,Ondo,mean_val,3360724.60522142,228529,17.67,0.295802751128079,1.87556472222222,1875.56472222222,428620.930404722
U2,Osun,mean_val,4620347.90734842,314184,27.44,0.399715659135459,2.51077722222222,2510.77722222222,788846.030786666
U2,Oyo,mean_val,6977518.11374715,474471,12.75,0.225098977141045,1.44849972222222,1448.49972222222,687271.111702499
U2,Rivers,mean_val,5115068.37844803,347825,7.02,0.136687936093633,0.867773333333333,867.773333333333,301833.259666667
U2,Taraba,mean_val,6038663.565472,410629,13.5,0.247694041045392,1.511845,1511.845,620807.400505
U5,Abia,mean_val,3399511.416297,231167,6.32,0.193119014933351,1.17137611111111,1171.37611111111,270783.501477222
U5,Akwa Ibom,mean_val,3296710.49991875,224176,12.36,0.333570879769814,2.02268655555556,2022.68655555556,453437.781278223
U5,Anambra,mean_val,5098431.00245006,346693,4.12,0.124928348868963,0.826692444444445,826.692444444445,286608.483641778
U5,Bayelsa,mean_val,1075781.60546979,73153,10.73,0.301523471849408,1.80333622222222,1803.33622222222,131919.454664222
U5,Benue,mean_val,9961202.7942744,677362,8.72,0.261965353760212,1.51851711111111,1518.51711111111,1028585.78741644
U5,Cross River,mean_val,2016226.89448512,137103,8.91,0.254984073667208,1.584562,1584.562,217248.203886
U5,Delta,mean_val,3980159.13129126,270651,8.2,0.245175633189474,1.47574933333333,1475.74933333333,399413.032815999
U5,Ebonyi,mean_val,3170746.9700617,215611,22.71,0.48362436070554,2.99214744444444,2992.14744444444,645139.90264411
U5,Edo,mean_val,3889207.70466486,264466,5.64,0.180122247206386,1.07523511111111,1075.23511111111,284363.128895111
U5,Ekiti,mean_val,1662045.54988429,113019,20.7,0.466758301041937,2.69700655555556,2697.00655555556,304812.983902334
U5,Enugu,mean_val,4408363.6995842,299769,10.78,0.291761245047916,1.85862266666667,1858.62266666667,557157.458164001
U5,Imo,mean_val,5749606.6045009,390973,4.27,0.133580935456809,0.842145333333333,842.145333333333,329256.087409333
U5,Kogi,mean_val,3773143.48526124,256574,20.51,0.47111445823109,2.69690188888889,2696.90188888889,691954.905239778
U5,Lagos,mean_val,9689081.86118731,658858,1.14,0.0387455927034822,0.243443666666667,243.443666666667,160394.807332667
U5,Ogun,mean_val,8001223.04886736,544083,11.82,0.315435628881687,1.97145144444444,1971.45144444444,1072633.21624766
U5,Ondo,mean_val,3360724.60522142,228529,17.67,0.421109746421999,2.51287955555556,2512.87955555556,574265.851951557
U5,Osun,mean_val,4620347.90734842,314184,27.44,0.527094717884244,3.10361922222222,3103.61922222222,975107.501714666
U5,Oyo,mean_val,6977518.11374715,474471,12.75,0.335294083690152,2.03848077777778,2038.48077777778,967200.013113001
U5,Rivers,mean_val,5115068.37844803,347825,7.02,0.215736989005676,1.29859466666667,1298.59466666667,451683.689933335
U5,Taraba,mean_val,6038663.565472,410629,13.5,0.365362116271598,2.09964388888889,2099.64388888889,862174.670450556
